"looking for something that can seat three kids, with seatbelts etc.","My 1973 convertable Cadilac El Camino had no problem holding 6 full-sized adults. [See the picture.]    It's a bit of a gas guzzler, though..."
what's the best bike for on-road exercise? thinking 45 to 60 min rides at a time (for starters).,"Finding the right bike for excercising is more about fit than anything else. Riding a bike that does not fit will cause pain and likely also knee and/or back problems. The for starters part indicates that you potentially want more, so I will recommend finding a good local shop that can measure you and find a bike of the correct size with the right angles for you. In my area I can recommend http://bicycleoutfitter.com/site/intro.cfm and http://www.cupertinobike.com/. Both are experts in finding and adjusting a bike just for you. Cupertinobike is perhaps a bit more for the hardcore riders. Please dont forget to buy a good pair of bike shorts. And for the saddle we are all different, but soft is not necessarily more comfy in the long run."
What is better to use a brush or a sponge? What are the pros and cons?,Sponges made for specifically for washing cars and non-stick cooking surfaces are good. I wouldn't use a brush unless it was made for washing cars.
"Hi, <br><br>I have some tree sap on my car, both older (pretty dry) and some newer from a redwood tree. <br><br>Any tips on how to remove it?",I have had good luck with commercial products available at auto supply stores for just a few dollars. Below are some additional suggestions if you want to try DIY:
"I want to go to san francisco from Palo Alto without a car, and I want to know if there is a ticket that can do this, in particular, one that would work for the whole day.","If you're going this route regularly, then Caltrain Monthly pass holders can purchase a Muni sticker along with their pass at all Caltrain ticket offices, Ticket Vending Machines and through the Ticket-by-Mail program. The Muni sticker isn’t available with the 10-ride Ticket. The Muni sticker allows Caltrain passholders unlimited rides on all Muni services, except cable cars, for a monthly cost of $40, a $5 discount off the cost of a Muni Fast Pass.    If you're just looking for something for the day, then I would say take CalTrain from Palo Alto to the City and then get a 1 day Muni Passport ($9)"
Why hybrid cars gas mileage is better in city ?,"hybrid cars save energy in two ways:  1.by storing energy from the breaks 2.by engaging the gas motor only in it's most effective work RPM meaning that the system will engage the gas motor mostly at coursing speed (close to the most efficient motor RPM) Having said the above, driving in the city almost never gets you to the efficient RPM.  Also- it is true that the same energy that is being stored in the cars' battery needed to be generated by chemic energy. The cool thing about it is that the pollution can be outside of the city and not in the city. (Like in San Francisco, the electric buses generate the same pollution as a gas buses it is just not in the city.  You can also add that electric engines are much quieter then gas engines.  So- all in all- I the hybrid benefits are more visible in city driving"
"looking to know when i'd want longer runners vs shorter runners, etc.","Longer runners are better for high rpm power but you sacrifice power at the low end. Shorter runners give you more grunt at low rpm's but are less efficient at high rpm's. Many modern vehicles have variable intake runners to switch between short and long paths based on rpm. In the reference below, a white paper on Toyota's TVIS variable induction system (10-15 years old but you'll get the gist of it)"
what are the limitations for that kind of an istallation,"1. Physical compatibility- does the new engine work with the existing transmission? If not, is a transmission available that will fit the chassis? Does the increased weight of the engine require a new set of springs and shocks up front so as not to upset the handling balance?    2. Electrical compatibility- does the stock wiring harness and ECU work? If not, how much work to rip out the harness and put in a compatible one. Is a compatible harness available or does it need to be custom made (often this is a bigger obstacle than 1.)    3. Durability. If there is a 3.0L version of the car that you currently own, does it have different components to withstand the stress of the extra power? Specifically universal joints, driveshafts, and brakes.    Often it is easier and cheaper to sell your car and buy the 3.0L version of the car you own."
"Complicated question: Here goes. <br><br>I currently live in NYC (with wife and kids), and won't be moving out to California until December, even though I began working at Yahoo in April (I'm commuting every week x-country). <br><br>I say that as background because my 95 year old grandfather in New Haven, CT just decided to give me his old car (a 2002 Toyota of some kind). Until we move out to California, however, we're going to be parking it my wife's sister's in Stamford Connecticut. <br><br>So here's the question: Can I register the car now in California or do I have to wait until it has physically arrived in the state? <br><br>And if not, how much extra is it going to cost me to register now in New Haven and then to reregister it again in California? If the additional money is significant, we'll probably just wait until we come to California, because we have very little need to use the car until then. <br><br>Hope that all made sense.",i've done that recently. the car must be physically located in california. they needto inspect it and such.    btw - you have to do that a month or so after you get it in the state or you get a fine.
"I believe Cartalk said its ok, but they are just radio personalities....","While it is true that putting premium gas in a car designed for regular is a waste of money, the opposite is not true. Contrary to popular belief, premium gas has the same or even less energy than regular, the sole difference being the temperature at which it will ignite.     Many cars that require premium gas require it because their engines run at high temperatures and/or compression and regular gas will ignite prematurely causing detonation, which sounds like a knocking in the engine. Modern cars do have sensors which detect this condition and will dial back the power accordingly to prevent damage but the point is that the condition has to occur for the engine to respond.     In effect, a tiny amount of damage can occur every time to fill your car with regular gas. While putting regular in by accident once in a while is probably fine, the effect of the damage is cumulative and probably not worth the couple hundred you save every year. If you have a turbocharged car then you should NEVER put in regular gas. Ever. The same is true for high revving, high output Honda VTEC engines like the S2000 or Prelude.    PS- Cartalk also advised some listeners that the interior of their Honda Element was washable with a hose. Some poor listener did this and inflicted hundreds of dollars in damage to their car by soaking electronic components. Let the listener beware..."
