"We are considering renting a house in the Turks and Caicos... any recommendations of which islands might be best, and good places to rent from?","I like Providenciales best. Beautiful beaches are scattered on all sides of Providenciales, the most spectacular of which is a 12 mile stretch located on Grace Bay, which is protected by a healthy barrier reef. Provo has an 18 hole golf course, a casino, shopping centres, three marinas, a growing number of of bars and excellent restaurants. Provo is also a divers' and water lovers' paradise."
I'll be spending the weekend in the Paso Robles area and will have time to visit 3 or 4 wineries. Can anyone recommend which ones to visit for the best wine? or the best ambiance? <br><br>Thanks.,Meridian winery is in Paso Robles and it has a good tasting room and the views overlooking the the vineyards are beautiful. A smaller winery which is fun is Bonny Doon.    What's unique to the Paso Robles area are a lot of Mom and Pop wineries which you don't see much of anymore in Napa or Sonoma.    Now is right before harvest time so you can enjoy the vineyards fully loaded with grapes.    Enjoy
I'm planning a trip to China. I'm an adventurous eater and I'd like to think my stomach can handle anything that I encounter that appeals to me. But I know that's risky! Is there anything in particular precautions I should take or things I should avoid to stay healthy on the trip? <br><br>Thanks.,"Number one cause of digestive complaints is the water. Be especially careful to avoid any beverage that has not been pasteurized and vaccuum sealed, or else boiled (such as tea). Avoid ice like the plague, as well as anything such as raw fruits and vegetables that may have been rinsed prior to serving.    On the flip side, most Chinese food is cooked at high heat and therefore is safe as long as no one has touched it with their hands (unlikely given the high temperatures!). That goes for your hands too, wash your hands frequently and always use chopsticks.    Finally, pack a bottle of Pepto Bismol, widely regarded (even in medical studies) as the best treatment for mild traveler's diarrhea. If you meticulously follow the suggestions above you shouldn't encounter any problems Pepto can't handle.    I've traveled in Central America, North Africa, and Asia following these simple guidelines and never gotten sick. However, for much more detailed info, see the link below:"
I need a recommendation for a nice hotel in San Diego (or at least near it) for the weekend. Going down for the MNF game 10/10. Want a nice pool/beach for kids etc.,"The Hotel Del Coronado is one of the most famous and historic hotels in California, a real treat and great experience for the family."
"China Air showed a PG13 with nudity on the way out. They said they are scheduled to show an R on the way back. <br><br>This is highly inappropriate for several reasons, but particulary with children. <br><br>Is this problem afflicting all airlines? <br><br>How have you dealt with this? <br><br>Do airlines publish their movies ahead of time? <br><br>China Air does not have personal movie screens yet.","Most international airlines have atleast 1 or 2 pg-13/R rated movies. But this is out of a possible 30 odd channels (including audio music).  It's not too bad a ratio.  But these airlines have personal screens.    Airlines do publish movie schedule upfront (1 month in advance usually). Not the same movies are shown in all the routes that, that particular airline flies.    The problem you are referring to is completely due to lack of personal screens. It's not so bad when you have personal screens as kids have a few channels dedicated for themselves (cartoons, children's movie, sports channel, comedy channel, etc.)    Cathay Pacific, Singapore Airlines, Lufthansa, etc. have personal screens which is very convenient."
I hoped to get in the Mission Ranch Resort for my anniversary but they're sold out for one of the nights I need. Anyone have a suggestion?,"The best high end hotels are Post Ranch Inn and the Ventana Inn, just south of Carmel. The Lodge at Pebble Beach and the Inn at Spanish Bay are also luxurious hotels near Carmel. The Highlands Inn in Carmel is more reasonably priced but less romantic/intimate. The Tickle Pink Inn is even more moderately priced and has great views"
I'm travelling to China in October and I'd like to know where can I get the best exchange rate for US Dollars for Chinese Yuan. Should I do this in the airport? hotel? or find private entrepeneur on the street? <br><br>Thanks.,"You are best off bringing your ATM card and withdrawing money froma machine at the airport when you get there. By using the ATMs you get the wholesale banking rate for that day, which means that you will get a better exchange rate than going those exchange shops or from dealing with travellers checks. The only thing to watch for is the user fee you may get charged by the machine operator as well as your bank, but this happens even domestically. Any user fee ($1-2) will typically offset by the convenience factor in my opinion."
Which hotel on the Strip is the best for a family with 2 young kids in Las Vegas?,A good about.com article. Depends on how much you want to spend
How much do parking tickets cost in San Francisco?,From http://www.sfgov.org  The fines range from $35 (not curbing your wheels) to $500 (misuse of a handicap placard).     A PDF of all the fines can be found at   http://www.sfgov.org/site/uploadedfiles/dpt/CitationPenaltyScheduleFull-%2007.11.05.pdf     You can pay your tickets online at http://services.sfgov.org/PTP-MultipleCitations/intro.asp
Can you make a day trip out of visiting the Hoover Dam from Las Vegas? Anything else to do there,"You can go to Lake Mead Recreation Park along with the Hoover dam.    You can also have a 5 hour ride and go to the Grand Canyon, but if you are planning on getting back to Las Vegas on the same day then it makes it a very long day. There are bus tours that take you to the Grand Canyon, so you don’t really have to drive"
